-5.1123,-2.15,-2.15722
-2.95515,-2.15,0
2.36359,-2.15,0
7.52965,-2.15,-1.48281
9.80786,-2.15,0.93167
10.80554,-2.15,0.3596
9.4049,-2.15,-1.58854
10.12523,-2.15,-1.58854
10.12523,-2.15,-1.58854
10.12523,-2.15,-2.15722
9.49044,-2.15,-2.15722
8.90378,-2.15,-2.77907
-4.91875,-2.15,-3.18107
-5.1123,2.15,-2.15722
-2.95515,2.15,0
2.36359,2.15,0
7.52965,2.15,-1.48281
9.80786,2.15,0.93167
10.80554,2.15,0.3596
9.4049,2.15,-1.58854
10.12523,2.15,-1.58854
10.12523,2.15,-1.58854
10.12523,2.15,-2.15722
9.49044,2.15,-2.15722
8.90378,2.15,-2.77907
-4.91875,2.15,-3.18107
